344,6
0,6
346,3
347,6
340,1
341,6
342,0
348,4
349,6
298,7
299,6
296,0
297,7
294,6
295,7
292,0
293,7
290,1
291,0
199,6
198,6
195,7
194,1
197,4
196,1
191,3
190,0
193,1
192,7
270,6
271,6
272,0
273,6
274,6
275,6
276,1
277,3
278,1
279,1
449,0
448,0
443,6
442,6
441,6
440,6
447,0
446,6
445,6
444,6
108,7
109,5
102,4
103,1
100,6
101,4
106,3
107,0
104,6
105,5
39,3
38,6
33,6
32,2
31,3
30,0
37,3
36,2
35,7
34,1
438,1
439,1
436,6
437,6
434,6
435,6
432,1
433,1
430,6
431,1
339,1
338,1
335,5
334,6
337,0
336,0
331,6
330,0
333,0
332,0
345,7
6,1
99,7
98,3
91,4
90,6
93,1
92,3
95,3
94,4
97,3
96,4
238,3
239,6
234,1
235,5
236,6
237,0
230,6
231,7
232,0
233,3
1,7
146,5
147,3
144,4
145,1
142,3
143,4
140,3
141,1
148,7
149,6
133,1
132,3
131,3
130,3
137,4
136,3
135,6
134,3
139,4
138,6
24,6
25,1
26,6
27,3
20,3
21,6
22,1
23,5
28,4
29,3
407,5
406,5
405,4
404,4
403,4
402,1
401,6
400,3
409,6
408,6
379,6
378,5
371,6
370,6
372,1
375,5
374,6
377,6
376,6
393,6
392,6
88,3
89,3
396,4
395,1
394,1
82,3
83,7
80,1
81,0
86,5
87,4
84,6
85,7
7,3
245,3
244,4
247,3
246,2
241,6
240,1
243,6
242,6
249,6
248,1
450,5
451,6
453,3
454,6
455,6
456,3
457,6
179,6
178,4
177,1
176,1
175,0
174,1
173,5
172,3
171,6
170,7
253,0
182,0
183,0
180,6
181,3
186,1
187,1
184,3
185,3
188,3
189,6
11,0
10,6
13,6
12,6
15,3
14,6
17,6
16,6
19,3
18,3
62,6
322,0
323,0
320,0
321,5
327,0
325,5
328,3
329,0
201,6
200,7
203,4
202,7
205,7
204,2
207,4
206,1
209,3
208,5
77,1
76,3
75,6
74,4
73,6
72,3
71,6
70,3
79,4
78,4
2,3
8,0
120,4
121,3
122,6
123,7
124,3
125,5
126,6
127,7
128,0
129,3
414,6
416,5
417,6
410,3
411,6
412,6
413,6
418,6
419,5
319,1
313,6
312,6
311,6
310,6
317,6
316,6
315,6
314,6
3,6
368,6
366,6
367,6
364,1
365,1
362,6
363,7
360,6
361,4
380,6
382,5
383,6
384,6
385,3
386,7
387,6
388,6
389,5
252,1
60,6
61,6
258,6
259,6
64,3
65,6
66,3
67,6
68,3
69,6
250,3
251,1
256,7
257,6
254,4
255,6
168,7
169,3
164,3
165,7
166,3
167,0
160,5
161,6
162,1
163,5
9,6
357,6
356,5
355,1
354,6
353,6
352,4
351,6
350,1
359,6
358,6
216,5
217,0
214,7
215,5
212,6
213,1
210,2
211,7
218,6
219,6
289,0
288,1
4,7
281,3
280,7
283,0
282,6
285,0
284,1
287,6
286,6
263,6
262,6
261,6
260,5
266,4
265,7
264,3
59,0
58,6
55,3
54,3
57,0
56,4
51,6
50,7
53,3
52,2
63,3
115,3
114,6
117,6
116,4
111,7
110,7
113,3
112,4
119,6
118,6
429,7
428,6
421,0
420,6
423,1
425,1
424,6
427,1
426,6
308,6
300,6
301,6
302,0
303,7
304,0
305,4
306,6
307,6
229,7
228,7
227,7
226,7
225,0
224,5
223,3
222,6
221,4
220,3
391,6
390,6
151,3
150,6
153,0
152,6
155,0
154,6
157,7
156,5
159,5
158,3
399,6
398,6
48,0
49,3
46,5
47,3
44,3
45,1
42,6
43,3
40,1
41,6
5,7
