id,position
7,73.4367533995
14,66.5890964126
21,74.2519678287
28,28.4397393729
35,74.5686292572
42,73.8443606141
49,91.6432089846
56,69.4965503252
63,69.4965503252
70,69.4965503252
77,112.920449804
84,112.920449804
91,81.9965049059
98,81.9965049059
105,77.5128255455
112,77.5128255455
119,77.5128255455
126,77.5128255455
133,100.882305849
140,93.2736378429
147,101.01817492
154,108.762711997
161,86.4801842664
168,86.3443151949
175,104.686639851
182,104.686639851
189,104.686639851
196,90.9638636269
203,64.8770018932
210,104.143163565
217,95.1758048443
224,85.8008389088
231,85.8008389088
238,85.8008389088
245,100.067091419
252,100.067091419
259,98.9801388472
266,98.9801388472
273,87.0236605525
280,101.01817492
287,101.01817492
294,101.01817492
301,101.01817492
308,93.6812450575
315,97.7573172034
322,88.7899584824
329,86.0725770518
336,86.0725770518
343,64.8770018932
350,64.8770018932
357,64.8770018932
364,64.8770018932
371,80.0943379045
378,87.2953986956
385,75.106443388
392,75.106443388
399,105.909461495
406,94.9040667013
413,94.9040667013
420,91.7248746457
427,86.8335880706
434,86.8335880706
441,107.811628497
448,78.3280399746
455,78.3280399746
462,114.415009591
469,114.415009591
476,103.68135294
483,99.2518769903
490,99.9312223479
497,100.338829562
504,116.09964186
511,132.268061372
518,132.268061372
525,132.268061372
532,82.6758502636
539,108.626842926
546,109.713795498
553,109.713795498
560,109.713795498
567,111.654034725
574,126.561560368
581,111.751831571
588,130.501763442
595,130.501763442
602,132.132192301
609,137.838693305
616,107.947497568
623,116.914856289
630,112.023569714
637,109.442057355
644,100.012888009
651,101.561651206
658,101.561651206
665,92.8660306283
672,118.545285148
679,129.958287156
686,64.4693946786
693,64.4693946786
700,119.63223772
707,119.63223772
714,119.63223772
721,134.985442803
728,140.691943807
735,106.996414067
742,106.996414067
749,106.996414067
756,110.936617142
763,107.811628497
770,107.811628497
777,111.751831571
784,111.751831571
791,111.751831571
798,118.409416076
805,93.3185611283
812,93.3185611283
819,141.914765451
826,141.914765451
833,141.914765451
840,104.323955922
847,107.675759425
854,107.675759425
861,106.724675924
868,108.762711997
875,108.762711997
882,110.664878999
889,110.664878999
896,114.876820216
903,137.838693305
910,123.708309866
917,123.708309866
924,153.735374674
931,109.442057355
938,99.7953532764
945,99.7953532764
952,114.469213002
959,102.168811111
966,143.137587094
973,143.137587094
980,89.197565697
987,105.909461495
994,105.909461495
1001,105.909461495
1008,105.094247066
1015,123.844178937
1022,123.572440794
1029,123.572440794
1036,126.425691296
1043,129.278941798
1050,115.420296502
1057,147.485397383
1064,115.284427431
1071,115.556165574
1078,115.963772788
1085,116.235510931
1092,116.235510931
1099,115.148558359
1106,116.09964186
1113,78.7356471892
1120,72.8932771134
1127,66.0998235369
1134,66.0998235369
1141,66.0998235369
1148,108.165032301
1155,87.7030059102
1162,78.5997781177
1169,81.8606358344
1176,99.3877460618
1183,78.8715162608
1190,99.2518769903
1197,112.023569714
1204,79.4149925469
1211,72.4314664884
1218,54.0074761708
1225,54.0074761708
1232,54.0074761708
1239,78.7356471892
1246,83.8986719074
1253,88.925827554
1260,79.0073853323
1267,88.5182203394
1274,69.4965503252
1281,69.2248121821
1288,69.2248121821
